96.02564102564104, 1686799385475
107.28417764566592, 1686799386352
131.78438243770637, 1686799387462
121.190018231143, 1686799388347
130.52197802197801, 1686799389457
125.31699508893135, 1686799390353
121.64541433409359, 1686799391343
116.07191139548748, 1686799392442
126.23758302474579, 1686799393374
115.99885801613891, 1686799394361
121.7572276662384, 1686799395360
116.1006289308176, 1686799396448
125.70731625395705, 1686799397356
122.82486930545181, 1686799398447
126.46001796945194, 1686799399357
119.63204608240758, 1686799400319
128.33663366336634, 1686799402448
127.02780278027801, 1686799404413
123.82374906646751, 1686799405444
129.6585804132974, 1686799406352
128.03261629923594, 1686799407351
118.07588637777317, 1686799408402
123.5602513110889, 1686799409354
121.14842277463639, 1686799410455
124.54047745001722, 1686799411343
